10M
8384.402000
8049.872000
7940.142000
7884.092000
7915.603000
7865.213000
7955.062000
7925.172000
7906.822000
7915.422000
7881.782000
7931.922000
7950.062000
7915.882000
7923.322000
7912.772000
7885.742000
7904.102000
7931.382000
7911.982000
8087.583000
8018.793000
7980.082000
7991.212000
7916.012000
7930.702000
7917.852000
7934.952000
7904.342000
7932.232000
8084.412000
8023.612000
7914.962000
7938.482000
7944.313000
7950.892000
8057.662000
7886.132000
7942.262000
7906.022000
7945.792000
7938.142000
7879.202000
7897.552000
7908.002000
7941.562000
7938.082000
8121.302000
7952.553000
7948.723000
7948.292000
7949.522000
7922.772000
7957.052000
7943.132000
7942.492000
7910.502000
7934.022000
7970.382000
7918.932000
7929.132000
7947.382000
7943.012000
7888.322000
7911.632000
7924.092000
7908.772000
7910.373000
7948.863000
7882.612000
7936.992000
7931.832000
7909.272000
7913.982000
7929.192000
7906.202000
7973.572000
7945.452000
7943.062000
7948.972000
7938.142000
7904.202000
7882.652000
7944.952000
7911.762000
7941.532000
7897.462000
8062.913000
7924.012000
7954.462000
7896.432000
7888.082000
7882.552000
7879.502000
8015.772000
7957.422000
7982.462000
7940.012000
7914.072000
7933.632000

